SalesPerson_ID,Sales_Person
1,Aarav Malhotra
2,Amelia Rhodes
3,Andres Castillo
4,Anika Verma
5,Bruno Carvalho
6,Camila Torres
7,Charlotte Ellis
8,
9,DEREK BOONE
10,Diya Kapoor
11,Elena Dupont
12,Ethan Cole
13,Farah Siddiqui
14,Harper Lawson
15,HUGO MARTIN
16,Javier Morales
17,Lena Crawford
18,Logan Price
19,Lucas Bennett
20,Lucia Herrera
21,Marco Bellini
22,Marcus Doyle
23,MATEO SILVA
24,Meera Nair
25,Mia Sutton
26,Nikhil Bhat
27,Nina Booker
28,Noah Sinclair
29,Oliver Kent
30,Rizwan Khan
31,Rohan Iyer
32,Sharon Patel
33,Sienna Hart
34,Sofia Mercer
35,Talia Whitmore
36,Valentina Rojas
